,Condition,Metric,Cohen’s kappa,Cohen’s kappa maximum,Unachieved agreement,Quantity disagreement,Allocation disagreement
0,ccs-img,CLIP,0.0802675585284281,0.7491638795986622,0.668896321070234,0.12,0.32
1,ccs-img,CLIP,-0.102941176470588,1.0,1.102941176470588,0.0,0.4799999999999999
2,ccs-img,CLIP,-0.0517799352750809,0.7572815533980582,0.8090614886731392,0.12,0.4
3,ccs-img,CLIP,0.0,1.0,1.0,0.0,0.48
4,ccs-img,CLIP,0.3333333333333333,1.0,0.6666666666666666,0.0,0.32
5,ccs-img,CLIP,0.2138364779874213,0.5283018867924527,0.3144654088050314,0.2399999999999999,0.16
6,ccs-img,CLIP,0.1042345276872964,0.5928338762214984,0.4885993485342019,0.1999999999999999,0.24
7,ccs-img,CLIP,0.4262295081967212,0.918032786885246,0.4918032786885247,0.0399999999999999,0.24
8,ccs-img,CLIP,0.5161290322580645,0.8387096774193549,0.3225806451612903,0.0799999999999999,0.16
9,ccs-img,CLIP,0.2857142857142857,0.7619047619047619,0.4761904761904761,0.12,0.24
10,ccs-img,CLIP,0.0983606557377049,0.918032786885246,0.819672131147541,0.0399999999999999,0.4000000000000001
11,ccs-img,CLIP,0.1935483870967742,0.8387096774193549,0.6451612903225806,0.0799999999999999,0.32
12,ccs-img,CLIP,0.2038216560509554,0.8407643312101911,0.6369426751592356,0.08,0.32
13,ccs-img,CLIP,0.1721854304635761,0.8344370860927153,0.6622516556291391,0.0799999999999999,0.32
14,ccs-img,CLIP,0.1100323624595468,0.7572815533980582,0.6472491909385114,0.12,0.32
15,ccs-img,CLIP,0.512987012987013,0.6753246753246753,0.1623376623376623,0.1599999999999999,0.08
16,ccs-img,CLIP,0.0259740259740259,1.0,0.974025974025974,0.0,0.48
17,ccs-img,CLIP,0.2902208201892744,0.7634069400630915,0.4731861198738171,0.12,0.24
18,ccs-img,CLIP,-0.1904761904761904,0.7619047619047619,0.9523809523809524,0.12,0.48
19,ccs-img,CLIP,0.2331288343558282,0.5398773006134969,0.3067484662576687,0.24,0.16
20,ccs-img,CLIP,-0.2658227848101264,0.6835443037974684,0.9493670886075948,0.16,0.48
21,ccs-img,CLIP,-0.0383386581469649,0.9201277955271564,0.9584664536741214,0.04,0.48
22,ccs-img,CLIP,0.3506493506493506,0.6753246753246753,0.3246753246753247,0.1599999999999999,0.16
23,ccs-img,CLIP,0.2038216560509554,0.8407643312101911,0.6369426751592356,0.08,0.32
24,ccs-img,CLIP,0.0983606557377049,0.918032786885246,0.819672131147541,0.0399999999999999,0.4000000000000001
25,ccs-img,CLIP,0.1721854304635761,0.8344370860927153,0.6622516556291391,0.0799999999999999,0.32
26,ccs-img,CLIP,-0.0317460317460318,0.7619047619047619,0.7936507936507937,0.12,0.4
27,ccs-img,CLIP,-0.0655737704918033,0.918032786885246,0.9836065573770492,0.04,0.4800000000000001
28,ccs-img,CLIP,0.2038216560509554,0.8407643312101911,0.6369426751592356,0.08,0.32
29,ccs-img,CLIP,0.0445859872611464,0.8407643312101911,0.7961783439490446,0.08,0.4
30,ccs-img,CLIP,0.1100323624595468,0.7572815533980582,0.6472491909385114,0.12,0.32
31,ccs-img,CLIP,0.0322580645161291,0.8387096774193549,0.8064516129032258,0.08,0.4
32,ccs-img,CLIP,0.0983606557377049,0.918032786885246,0.819672131147541,0.0399999999999999,0.4000000000000001
33,ccs-img,CLIP,0.3548387096774194,0.8387096774193549,0.4838709677419355,0.08,0.24
34,ccs-img,CLIP,0.0816326530612245,0.6938775510204083,0.6122448979591837,0.12,0.24
35,ccs-img,CLIP,0.4791666666666666,1.0,0.5208333333333334,0.0,0.24
36,ccs-img,CLIP,-0.0736196319018405,0.5398773006134969,0.6134969325153374,0.24,0.32
37,ccs-img,CLIP,0.2857142857142857,0.7619047619047619,0.4761904761904761,0.12,0.24
38,ccs-img,CLIP,-0.0061919504643961,0.6130030959752322,0.6191950464396283,0.2,0.32
39,ccs-img,CLIP,-0.0344827586206897,0.8275862068965517,0.8620689655172414,0.0799999999999999,0.4000000000000001
40,ccs-img,CLIP,0.1554054054054053,0.6621621621621622,0.5067567567567568,0.1599999999999999,0.24
41,ccs-img,CLIP,-0.3157894736842104,0.6130030959752322,0.9287925696594426,0.2,0.48
42,ccs-img,CLIP,0.2718446601941747,0.7572815533980582,0.4854368932038835,0.12,0.24
43,ccs-img,CLIP,0.1883116883116883,0.6753246753246753,0.487012987012987,0.16,0.24
44,ccs-img,CLIP,0.0506329113924051,0.6835443037974684,0.6329113924050633,0.16,0.3199999999999999
45,ccs-img,CLIP,0.1319444444444444,1.0,0.8680555555555556,0.0,0.4
46,ccs-img,CLIP,0.1935483870967742,0.8387096774193549,0.6451612903225806,0.0799999999999999,0.32
47,ccs-img,CLIP,0.2372881355932203,0.9152542372881356,0.6779661016949152,0.04,0.3199999999999999
48,ccs-img,CLIP,0.1124260355029586,0.2603550295857988,0.1479289940828402,0.4,0.0799999999999999
49,ccs-img,CLIP,0.5222929936305732,0.8407643312101911,0.3184713375796179,0.08,0.16
50,ccs-img,CLIP,0.0983606557377049,0.918032786885246,0.819672131147541,0.0399999999999999,0.4000000000000001
51,ccs-img,CLIP,0.2718446601941747,0.7572815533980582,0.4854368932038835,0.12,0.24
