,CLIP,DreamSim,Normalised Compression Distance,Hamming Distance,Tile Frequencies,Tile Patterns (2×2),Tile Patterns (3×3),Tile Patterns (4×4),Symmetry (Horizontal),Symmetry (Vertical),Symmetry (Diag Fwd),Symmetry (Diag Bwd)
CLIP,,7.532464973595369e-13,4.5365857112006125e-12,1.1066694572954027e-08,0.00025375163307636014,1.4754965839003233e-09,3.9058068045062265e-05,1.4808004600311462e-12,1.9781803259399167e-24,5.2162840314197216e-09,2.2378856107225722e-14,2.582981451104256e-10
DreamSim,7.532464973595369e-13,,6.373723172876652e-32,1.1811009534512975e-27,9.55601452472565e-21,4.156144049180144e-28,8.611615846129773e-20,2.6844392363567547e-34,3.0088198728846555e-50,2.1044584579142572e-32,1.309340978562051e-39,9.467559940841772e-31
Normalised Compression Distance,4.5365857112006125e-12,6.373723172876652e-32,,0.07456080575378257,2.714385274030218e-05,0.23399209139726254,0.0011010318770932356,0.8243044941627966,1.8487730591133974e-06,0.0732361795216934,0.9239375004990033,0.3026227756613876
Hamming Distance,1.1066694572954027e-08,1.1811009534512975e-27,0.07456080575378257,,0.00023248646771544505,0.3795102903249026,0.1643010767042122,0.04618091238338293,9.551929041515874e-11,0.8694665083035544,0.12525632869829517,0.5140259858051726
Tile Frequencies,0.00025375163307636014,9.55601452472565e-21,2.714385274030218e-05,0.00023248646771544505,,5.995831982544848e-05,0.25411467353238476,3.7002627172112186e-05,4.3848385536255984e-17,0.058396763080927096,0.0002627954891963313,0.006390604454464982
Tile Patterns (2×2),1.4754965839003233e-09,4.156144049180144e-28,0.23399209139726254,0.3795102903249026,5.995831982544848e-05,,0.014731102542785457,0.17969844613800304,4.779457655437436e-09,0.452076567095262,0.34874877532537163,0.9489777359001503
Tile Patterns (3×3),3.9058068045062265e-05,8.611615846129773e-20,0.0011010318770932356,0.1643010767042122,0.25411467353238476,0.014731102542785457,,0.0003267415807026382,1.9571894787218038e-14,0.35884954845898653,0.005376808018371423,0.05514780206029836
Tile Patterns (4×4),1.4808004600311462e-12,2.6844392363567547e-34,0.8243044941627966,0.04618091238338293,3.7002627172112186e-05,0.17969844613800304,0.0003267415807026382,,4.571060818263312e-06,0.04371467221882473,0.7626906826358273,0.20803020484091206
Symmetry (Horizontal),1.9781803259399167e-24,3.0088198728846555e-50,1.8487730591133974e-06,9.551929041515874e-11,4.3848385536255984e-17,4.779457655437436e-09,1.9571894787218038e-14,4.571060818263312e-06,,3.849529966499309e-10,3.1042355122299483e-07,2.8059165603965725e-08
Symmetry (Vertical),5.2162840314197216e-09,2.1044584579142572e-32,0.0732361795216934,0.8694665083035544,0.058396763080927096,0.452076567095262,0.35884954845898653,0.04371467221882473,3.849529966499309e-10,,0.06495654791341636,0.38011411521911975
Symmetry (Diag Fwd),2.2378856107225722e-14,1.309340978562051e-39,0.9239375004990033,0.12525632869829517,0.0002627954891963313,0.34874877532537163,0.005376808018371423,0.7626906826358273,3.1042355122299483e-07,0.06495654791341636,,0.08871145387605472
Symmetry (Diag Bwd),2.582981451104256e-10,9.467559940841772e-31,0.3026227756613876,0.5140259858051726,0.006390604454464982,0.9489777359001503,0.05514780206029836,0.20803020484091206,2.8059165603965725e-08,0.38011411521911975,0.08871145387605472,
