,CLIP,DreamSim,Normalised Compression Distance,Hamming Distance,Tile Frequencies,Tile Patterns (2×2),Tile Patterns (3×3),Tile Patterns (4×4),Symmetry (Horizontal),Symmetry (Vertical),Symmetry (Diag Fwd),Symmetry (Diag Bwd)
CLIP,,1.3150868168988099e-09,0.0573116235254373,1.844375420089607e-17,0.00046669696982834513,2.835276194043612e-05,1.0395047028570965e-05,9.304977520643763e-27,1.1036926555572227e-79,1.5617443749027117e-78,4.668396144384986e-71,5.722738575684228e-69
DreamSim,1.3150868168988099e-09,,9.347422766524789e-14,1.5183265338529745e-45,4.653174843131032e-22,5.487694319520792e-25,6.330295377545774e-25,6.424415054751547e-46,2.6658595005075342e-108,1.530732133095863e-101,1.2290334765028636e-93,2.124729829619005e-90
Normalised Compression Distance,0.0573116235254373,9.347422766524789e-14,,2.8607045704799644e-12,0.05586877085348582,0.007189515875203441,0.013912208275860106,4.586488538769786e-19,2.0074116875869418e-70,1.7403680730974312e-72,3.553340691340899e-59,1.0710743046482878e-58
Hamming Distance,1.844375420089607e-17,1.5183265338529745e-45,2.8607045704799644e-12,,4.255693970720657e-17,1.3022382117721778e-10,5.4806142609255976e-08,0.5261396605257451,8.097283090521066e-36,2.084249115081656e-32,2.6929453802011487e-23,4.1426930476158404e-23
Tile Frequencies,0.00046669696982834513,4.653174843131032e-22,0.05586877085348582,4.255693970720657e-17,,0.41226269703440854,0.6682062349878888,6.1238159681072425e-09,1.3299466640097516e-61,5.018555041614229e-52,1.4267682648686807e-43,3.0366735589151e-42
Tile Patterns (2×2),2.835276194043612e-05,5.487694319520792e-25,0.007189515875203441,1.3022382117721778e-10,0.41226269703440854,,0.7630180114811697,3.679179945080469e-08,5.559622550674228e-57,4.927626254076639e-55,6.21667359003722e-42,7.147955085806589e-43
Tile Patterns (3×3),1.0395047028570965e-05,6.330295377545774e-25,0.013912208275860106,5.4806142609255976e-08,0.6682062349878888,0.7630180114811697,,6.059120460199942e-11,1.7890522282058133e-58,2.5397875507881206e-55,1.5696705025106633e-49,1.5939452290674344e-51
Tile Patterns (4×4),9.304977520643763e-27,6.424415054751547e-46,4.586488538769786e-19,0.5261396605257451,6.1238159681072425e-09,3.679179945080469e-08,6.059120460199942e-11,,2.538296684326213e-35,9.401940631780494e-32,2.0132100463824065e-26,9.941989943596017e-29
Symmetry (Horizontal),1.1036926555572227e-79,2.6658595005075342e-108,2.0074116875869418e-70,8.097283090521066e-36,1.3299466640097516e-61,5.559622550674228e-57,1.7890522282058133e-58,2.538296684326213e-35,,0.5843195525004095,0.007833302726802207,0.03570951348980754
Symmetry (Vertical),1.5617443749027117e-78,1.530732133095863e-101,1.7403680730974312e-72,2.084249115081656e-32,5.018555041614229e-52,4.927626254076639e-55,2.5397875507881206e-55,9.401940631780494e-32,0.5843195525004095,,0.02154955787609425,0.076967511575184
Symmetry (Diag Fwd),4.668396144384986e-71,1.2290334765028636e-93,3.553340691340899e-59,2.6929453802011487e-23,1.4267682648686807e-43,6.21667359003722e-42,1.5696705025106633e-49,2.0132100463824065e-26,0.007833302726802207,0.02154955787609425,,0.4389045107461689
Symmetry (Diag Bwd),5.722738575684228e-69,2.124729829619005e-90,1.0710743046482878e-58,4.1426930476158404e-23,3.0366735589151e-42,7.147955085806589e-43,1.5939452290674344e-51,9.941989943596017e-29,0.03570951348980754,0.076967511575184,0.4389045107461689,
