,CLIP,DreamSim,Normalised Compression Distance,Hamming Distance,Tile Frequencies,Tile Patterns (2×2),Tile Patterns (3×3),Tile Patterns (4×4),Symmetry (Horizontal),Symmetry (Vertical),Symmetry (Diag Fwd),Symmetry (Diag Bwd)
CLIP,,1.223647768509864e-45,0.6252836881550908,0.18608962574877136,8.645904916377355e-09,1.0787289864744153e-10,0.00037550268870736777,2.66582624214989e-15,1.1363771248344324e-57,3.046762056168199e-40,2.842357105818082e-95,3.506850368360657e-95
DreamSim,1.223647768509864e-45,,3.8069126517866917e-44,1.352979701464603e-61,3.3918998782384452e-22,1.4463318555963615e-20,1.2883897538216954e-75,2.107177799038646e-90,8.846403608601053e-125,4.052409146065543e-109,7.111397798903921e-147,1.082643724716334e-148
Normalised Compression Distance,0.6252836881550908,3.8069126517866917e-44,,0.3629110870187455,1.3883976066148702e-09,5.971304864879636e-12,0.002320427345754583,3.387114825567299e-12,1.3263077829559935e-55,7.131236134624865e-43,2.611277694055416e-100,4.106802348678825e-100
Hamming Distance,0.18608962574877136,1.352979701464603e-61,0.3629110870187455,,1.5610717510621555e-22,3.951392842311014e-32,0.0016307884405351433,1.761812061826097e-15,2.966521544589296e-55,8.012511208804006e-41,2.9940312851154867e-86,3.475338520919056e-89
Tile Frequencies,8.645904916377355e-09,3.3918998782384452e-22,1.3883976066148702e-09,1.5610717510621555e-22,,0.5635883301590837,6.6508949328143e-32,6.606573038510604e-53,2.3139425370154167e-91,7.771956552658249e-72,2.2900025407474695e-114,4.655744169682317e-116
Tile Patterns (2×2),1.0787289864744153e-10,1.4463318555963615e-20,5.971304864879636e-12,3.951392842311014e-32,0.5635883301590837,,1.0400315418625221e-46,5.945419694507094e-53,6.065048434384546e-87,5.614289406128363e-71,1.2623254382838558e-114,1.6041192922760395e-118
Tile Patterns (3×3),0.00037550268870736777,1.2883897538216954e-75,0.002320427345754583,0.0016307884405351433,6.6508949328143e-32,1.0400315418625221e-46,,7.193781193566209e-14,2.854937189185588e-45,3.339897690950465e-33,1.0351476312444434e-76,3.4093588451008495e-80
Tile Patterns (4×4),2.66582624214989e-15,2.107177799038646e-90,3.387114825567299e-12,1.761812061826097e-15,6.606573038510604e-53,5.945419694507094e-53,7.193781193566209e-14,,4.83059554418639e-25,2.2528570842932246e-17,2.3228714766598106e-56,7.802187587519347e-58
Symmetry (Horizontal),1.1363771248344324e-57,8.846403608601053e-125,1.3263077829559935e-55,2.966521544589296e-55,2.3139425370154167e-91,6.065048434384546e-87,2.854937189185588e-45,4.83059554418639e-25,,0.02929399137809804,3.394494469510993e-19,4.4814503174078654e-21
Symmetry (Vertical),3.046762056168199e-40,4.052409146065543e-109,7.131236134624865e-43,8.012511208804006e-41,7.771956552658249e-72,5.614289406128363e-71,3.339897690950465e-33,2.2528570842932246e-17,0.02929399137809804,,3.7694977106248445e-26,7.300213890140339e-28
Symmetry (Diag Fwd),2.842357105818082e-95,7.111397798903921e-147,2.611277694055416e-100,2.9940312851154867e-86,2.2900025407474695e-114,1.2623254382838558e-114,1.0351476312444434e-76,2.3228714766598106e-56,3.394494469510993e-19,3.7694977106248445e-26,,0.3391950081539531
Symmetry (Diag Bwd),3.506850368360657e-95,1.082643724716334e-148,4.106802348678825e-100,3.475338520919056e-89,4.655744169682317e-116,1.6041192922760395e-118,3.4093588451008495e-80,7.802187587519347e-58,4.4814503174078654e-21,7.300213890140339e-28,0.3391950081539531,
